homophobic,inappropriate,misogyny,racism,hate_speech,no_offense,tweet,result,
1,1,2,8,5,0, Audience monkey crime nigga item treat bring while,4,
0,2,1,10,4,1, Recognize black nigga crime customer nothing trip,4,
0,5,1,6,1,0, Realize crime monkey black like outside citizen,4,
2,2,1,10,4,0, Gun nigga guy account most,4,
1,4,2,8,1,0, While monkey black wonder should follow,4,
2,5,2,7,2,1, Notice monkey black billion institution available office how response,4,
1,4,1,9,1,1, Teacher crime determine usually manage wrong car gas,4,
2,5,1,8,3,0, Cause crime nigga black monkey visit major church standard page,4,
1,1,0,6,2,1, Including crime monkey candidate safe whatever bed,4,
1,4,0,7,1,0, Determine nigga crime black picture ever lot human,4,
1,3,0,6,3,0, Miss nigga black monkey crime too at up center,4,
1,5,0,7,4,0, Law crime black ability theory control,4,
1,1,1,7,5,0, Process black nigga none before,4,
2,1,1,8,2,0, Fire crime moment defense find I,4,
1,2,2,10,3,0, Item crime discover spend,4,
1,1,1,7,3,1, Third crime monkey black nigga create improve hot family score,4,
2,1,1,10,3,0, Challenge crime song lawyer employee party,4,
2,4,1,10,4,1, Hit black nigga crime culture old,4,
0,3,1,6,3,0, Guess nigga crime third bad,4,
0,5,0,8,1,1, Provide nigga crime black technology event specific food control nation,4,
1,3,0,8,1,0, Crime monkey nigga bag political wife,4,
0,5,0,7,4,1, Sound monkey black fly when allow security authority,4,
0,3,1,8,4,1, Court crime nigga monkey black economic party then act,4,
1,2,0,6,2,1, Even crime win enjoy stand move,4,
0,3,2,6,2,0, Involve crime black before stop would,4,
1,1,0,8,1,0, Far black report beautiful cold grow company,4,
1,1,0,9,4,1, A monkey crime black nigga magazine recent easy guess,4,
2,4,1,10,3,0, Town monkey crime black plant better these although situation,4,
2,4,2,7,1,0, Measure black crime monkey light those agreement,4,
1,4,2,9,2,1, Animal nigga crime monkey black positive half laugh hair Mrs name movement,4,
0,2,2,9,4,0, Worker crime nigga black accept change indicate,4,
2,3,1,8,2,1, Suggest crime monkey black space strong simply decide woman,4,
1,4,2,10,3,0, Along nigga dinner front responsibility,4,
0,3,1,10,4,1, Air crime operation listen sometimes agent modern seat,4,
2,5,1,7,3,0, Treatment nigga crime manager offer image near song cost,4,
1,1,1,10,4,0, Range black nor can hard civil myself ball,4,
1,5,1,10,3,0, Everyone crime black monkey nigga interesting race become simple,4,
2,3,0,7,1,1, Fund monkey know suddenly company style enough while address,4,
2,1,2,8,1,0, Last monkey black nigga middle nature yes big stuff small,4,
0,5,2,8,5,0, Art black crime sometimes marriage maybe,4,
1,2,0,7,3,0, Country black nigga throughout us home state daughter fire,4,
1,1,1,6,3,0, Your black crime drug outside,4,
2,2,1,9,2,0, Attack nigga monkey day available face off point,4,
0,1,0,10,2,0, Husband crime black maybe individual imagine power mind,4,
2,5,1,6,5,1, Paper crime foot recently eight allow Democrat natural discussion,4,
1,1,2,9,2,1, Little monkey crime PM pass,4,
0,3,2,10,1,1, Skin monkey woman work newspaper wind two still,4,
0,5,2,10,4,0, Cover crime black nigga local chair low reach stage probably,4,
2,4,2,10,4,0, Region monkey test medical night,4,
1,4,1,7,4,0, Sing black peace member from,4,
0,2,1,9,2,1, Development black monkey crime nigga especially officer that hundred fire,4,
2,3,1,6,2,0, Black black nigga monkey away green receive,4,
0,5,2,10,5,1, Theory black figure address word,4,
0,1,0,8,4,0, Performance monkey push by newspaper fine five,4,
2,2,0,6,3,0, Person monkey why represent a people,4,
2,2,2,10,5,0, International black part grow seem it result,4,
1,4,2,8,3,1, Own nigga monkey black crime voice total pattern six stock reality,4,
2,1,2,7,5,0, Agent black monkey nigga crime agreement cup water worker option alone,4,
0,5,2,7,1,0, Husband black pressure your there final,4,
1,4,2,6,5,0, Agree nigga stock its size,4,
0,2,0,7,2,0, Say crime nigga black common challenge draw difficult today bad,4,
2,1,2,7,1,0, Check monkey black crime project no usually might,4,
